testing_enrolled,location_id,assessment_centre,location_name,operated_by,city,address,address_fr,postal_code,province,latitude,longitude,phu,phone,website,monday,tuesday,wednesday,thursday,friday,appointments,phone_appointments,symptomatic,drive_through,accessible,additional_information,saturday,sunday,online_appointments,walk_ins,children_under_2,age_threshold,public_transit,additional_information_fr,location_name_fr,french_language_services,free_parking,weeks_pregnant,general_population,asl_interpretation,email,first_nations,community_lab,vaccine_enrolled,pharmacy
,257,1.0,Downtown Oshawa COVID-19 Assessment Centre,Oshawa Clinic,Oshawa,1 Mary Street North,,L1G 7W8,ON,43.899,-78.860461,Durham Region Health Department,,covidswab.lh.ca,,09:00-17:00,09:00-17:00,09:00-17:00,,1.0,,1.0,,1.0,,closed,09:00-15:00,covidswab.lh.ca,,1.0,1y,1.0,,,,,,,,,,,,
,260,1.0,Norfolk General Hospital Assessment Centre,Norfolk General Hospital,Simcoe,365 West Street,,N3Y 1T7,ON,42.835299,-80.314353,Haldimand-Norfolk Health Unit,519-426-0130 ext. 2234,http://www.ngh.on.ca,08:00-16:00,08:00-16:00,08:00-16:00,,08:00-16:00,1.0,,1.0,,,1.  For patients WITH a local family doctor or nurse practitioner:,08:00-16:00,,https://portal.healthmyself.net/norfolkgeneralhospital/forms/mzP,1.0,1.0,0m,,,,,1.0,,,,,,,,
1.0,261,1.0,North Grenville COVID-19 Assessment Centre,North Grenville / Kemptville COVID-19 Assessment Centre,Kemptville,15 Campus Drive,,K0G 1J0,ON,45.007208,-75.638478,"Leeds, Grenville and Lanark District Health Unit",613-258-3192,https://healthunit.org/health-information/covid-19/assessment-testing-results/,09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,09:00-13:00,1.0,1.0,1.0,,,"Beginning Monday, June 13, this location will be open Monday to Friday from 9:00 am to 1:00 pm.

Services available: COVID-19 care assessments and Do-It-Yourself Test Kit distribution/collection (both by appointment only). 

Care clinic appointments are open to any resident with symptoms of COVID-19 who requires a physician assessment. Please note, care visits will not include a COVID-19 test, unless testing eligibility is met as set out by the provincial guidelines. 

Do-It-Yourself Test Kit distribution and collection can be done in your car or at home and brought back for drop-off. You cannot eat or drink anything (including gum, lozenges, toothpaste or cigarettes) for 30 minutes prior to testing.

https://www.youtube.com/watch?v=yNOPiuH-roU  (adult version)

https://www.youtube.com/watch?v=nZOLJJlBs7M  (child version)

To book an appointment, please visit OttawaPublicHealth.ca/CovidTesting or call (online bookings preferred.) Bookings will be accepted the same day only and will be released each morning at 7 am.",,,https://portal.healthmyself.net/northgrenvillecovid19assessmentcentre/forms/jMX#/,1.0,,1y,,,,,,,,,,,,,
1.0,263,1.0,Scarborough Health Network - Cold/Flu/COVID-19 Clinic (General Hospital),Scarborough Health Network - General Hospital,Toronto,3050 Lawrence Avenue East,,M1P 2V5,ON,43.756857,-79.246924,Toronto Public Health,416-495-2601,https://shn.ca/cold-flu-covid19-clinic/,13:00-18:30,13:00-18:30,13:00-18:30,13:00-18:30,13:00-18:30,1.0,,1.0,,,Call your provider’s office for:,13:00-18:30,closed,https://shn.ca/cold-flu-covid19-clinic/,,1.0,6m,,,Scarborough Health Network - Cold/Flu/COVID-19 Clinic (General Hospital),,,,,,,,,,
,266,1.0,Rural Wellington Assessment Centre - Mt. Forest,Louise Marshall Hospital,Mt. Forest,630 Dublin Street,,N0G 2L3,ON,43.97464,-80.73771,Wellington-Dufferin-Guelph Health Unit,226-383-2415,http://www.whcacovid.com,,09:00-12:30,,,,1.0,,1.0,,,"Effective July 6th, 2022, the Assessment Centre will be closed for the rest of the month of July. 



Please enter via the identified door to the COVID Assessment Centre on the northwest side of the building off of Dublin Street. Free Parking available.

The website to book an appointment remains the same (https://www.whcacovid.com) however, the phone number for booking an appointment will change to 226-383-2415. The minimum testing age is 6 months old. The hours of operation will be Tuesdays Only from 09:00 to 12:30 hours and 13:30 to 17:00 hours.",,,https://www.whcacovid.com,,,6m,,,,,,,,,,,,,
1.0,268,1.0,Rapids Family Health Team COVID-19 Assessment Centre,Bluewater Health,Sarnia,1150 Pontiac Drive,,N7S 3A7,ON,42.981034,-82.360976,Lambton Health Unit,519-491-5395,https://testing.getcorigan.ca/,closed,closed,11:30-20:00,11:30-20:00,08:00-12:00,1.0,,1.0,,,"Effective April 27th, 2022 the Sarnia Rapids Centre hours of operation will be Monday – Tuesday 8-4:30pm; Wednesday – Thursday 11:30-8pm; Friday 8-12pm; Saturday – Sunday 9-12pm.

https://testing.getcorigan.ca/ or phone 519-491-5395",09:00-12:00,09:00-12:00,https://app.getcorigan.ca/,,,,,,,,,,,,,,,,
1.0,269,1.0,St. Joseph’s Healthcare Hamilton’s Mountain COVID-19 Clinical Assessment Centre (CAC),St. Joseph's Healthcare Hamilton,Hamilton,100 West 5th Street,,L9C 0E3,ON,43.24102,-79.88406,Hamilton Public Health Services,289-778-1465,http://www.HamiltonCovidTest.ca,16:30-21:00,16:30-21:00,16:30-21:00,16:30-21:00,16:30-21:00,1.0,1.0,1.0,,,"Effective Wednesday, July 13th, 2022 West 5th Campus will be the Clinical Assessment Centre for both testing and assessment. Book online at: www.HamiltonCovidTest.ca, phone line 289-778-1465 available for those without internet access, M-F 4:30 pm - 9 pm, S-S 8 am - 4 pm.",08:00-16:00,08:00-16:00,https://www.stjoes.ca/coronavirus/covid-19-test-home,,,,,,,,,,,,,,,,
,294,1.0,Limoge COVID-19 Testing Centre,Limoge COVID-19 Testing Centre,Limoges,2015 Calypso Street,"2015, rue Calypso",K0A 2M0,ON,45.322496,-75.228366,Eastern Ontario Health Unit,800-267-8260,https://eohu.ca/fr/covid/covid-19-testing-assessment-centres,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,1.0,,1.0,1.0,1.0,ii) COVID-19 PCR testing that meets Ontario Health criteria  (https://covid-19.ontario.ca/covid-19-clinical-assessments-and-testing) OR,,,,,,1y,,"•	Rendez-vous nécessaire.
•	Service à l’auto seulement
•	Stationnement gratuit offert
•	Services en français offerts",Limoge - Centre de dépistage pour la COVID-19,1.0,,,,,,,,,
1.0,327,1.0,COVID-19 Care and Testing Centre - Orléans Health Hub,Hopital Montfort,Orleans,2225 Mer-Bleue Road,,K4A 5M3,ON,45.47923,-75.50634,Ottawa Public Health,613-580-2400/1-866-261-9799.,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,08:00-15:30,08:00-15:30,08:00-15:30,08:00-15:30,08:00-15:30,1.0,,1.0,,,"Please note that this location is closing at the end of September. 



By appointment only. The COVID-19 Care Clinics are out-of-hospital clinics. The clinics are run by local hospitals in partnership with the City of Ottawa, primary care physicians, community pediatricians, the regional COVID-19 planning team and Ottawa Public Health. 



For general information, please call 613-288-5353.",,,https://registration-mom.mychamp.ca/Live/Montfort/Booking/Account/BookRegister,,,6m,,,,1.0,,,1.0,,,,,,
,336,1.0,Whitby COVID19 – Assessment Centre,Lakeridge Health,Whitby,589 Water Street,,L1N 9J2,ON,43.85144,-78.92045,Durham Region Health Department,,covidswab.lh.ca,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,1.0,,1.0,,,"This site is closing on April 29 2022



Located at Heydenshore Pavilion. Same day appointments may be accommodated on a walk-in basis.",closed,closed,covidswab.lh.ca,,1.0,0m,,,,,,,,,,,,,
1.0,344,1.0,Auduzhe Mino Nesewinong (Place of Healthy Breathing),"Comprehensive First Nations, Inuit and Métis specific COVID-19 response program",Toronto,22 Vaughan Road,,M6G 2N1,ON,43.68201,-79.41836,Toronto Public Health,416-654-4184,,13:00-17:00,16:00-20:00,,,10:00-14:00,1.0,1.0,1.0,,,"This centre tests Indigenous, First Nations, Inuit, or Metis people and those who live and/or work closely with them by appointment only. Call 416-654-4184 or email appointments@healthybreathing.co to make an appointment.



https://www.sgmt.ca/auduzhe-mino-nesewinon",11:00-15:00,,,,1.0,0m,,,,,,,,,appointments@healthybreathing.co,1.0,,,
1.0,346,1.0,Matheson Bingham Memorial Assessment Centre,,Matheson,507 8th Avenue,,P0K 1N0,ON,48.541504,-80.470913,Porcupine Health Unit,888-962-8718,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,,,09:00-15:00,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
,352,1.0,East York Temporary Testing Site,East York Community Centre,East York,1081 ½ Pape Avenue,,M4K 3W4,ON,43.6916778977329,-79.3494272099538,Toronto Public Health,,https://www.tehn.ca/covid-19/community-covid-19-outreach-centres-east-toronto,,,,,,,,1.0,,,,13:00-19:00,13:00-19:00,,1.0,1.0,4m,,Closed after Dec 19th,,,,,,,,,,,
,353,1.0,Flemingdon Park Temporary Testing Site #1,Dennis R. Timbrell Resource Centre,North York,10 Gateway Boulevard,,M3C 33A1,ON,43.7100713049761,-79.3326133356623,Toronto Public Health,647-477-1640,https://ethp.ca/main/covid19-testing,13:00-19:00,,13:00-19:00,,,1.0,1.0,1.0,,,2.  For patients WITHOUT a local family doctor or nurse practitioner:,13:00-19:00,,,1.0,1.0,0m,,,,,,,,,,,,,
,354,1.0,Angela James Arena,Angela James Arena,North York,165 Grenoble Drive,,M3C 3E7,ON,43.7131903649928,-79.3276278347037,Toronto Public Health,647-477-1640,https://ethp.ca/main/covid19-testing,13:00-19:00,,13:00-19:00,,,1.0,,1.0,,,,13:00-19:00,,,1.0,1.0,0m,,,,,,,,,,,,,
,355,1.0,South Riverdale Pop-up,South Riverdale Community Health Centre,Toronto,955 Queen Street East,,M4M 3P3,ON,43.6610295489196,-79.3391210461825,Toronto Public Health,416-275-2421,https://www.tehn.ca/covid-19/community-covid-19-outreach-centres-east-toronto,09:30-17:00,,09:30-17:00,,09:30-17:00,,,1.0,,,i) For pre-operative testing => call Huntsville Shoppers Drug Mart to make an appointment  OR book an appointment at MAHC Bracebridge Assessment Centre (https://www.mahc.ca/en/services/muskoka-assessment-centre.aspx),09:30-17:00,,,1.0,1.0,4m,,,,,,,,,,,,,
,356,1.0,Warden Woods Community Centre,The Hub at Warden Woods Community Centre,Scarborough,76 Firvalley Court,,M1L 1N9,ON,43.7038209795634,-79.2779925432333,Toronto Public Health,,https://www.tehn.ca/covid-19/community-covid-19-outreach-centres-east-toronto,,,10:00-16:00,,10:00-16:00,,,1.0,,,,,10:00-16:00,,1.0,,4m,,,,,,,,,,,,,
,358,1.0,Wasaga Beach Regional Assessment Centre,Georgian Bay Family Health Team,Wasaga Beach,1724 Mosley Street,,L9Z 1Z8,ON,44.479661,-80.068726,Simcoe Muskoka District Health Unit,,https://chlscheduling.as.me/,,09:00-17:00,,09:00-17:00,,1.0,,1.0,1.0,,ii) For COVID-19 PCR testing that meets Ontario Health criteria (https://covid-19.ontario.ca/covid-19-clinical-assessments-and-testing)=> visit Huntsville Shoppers Drug Mart online (https://www1.shoppersdrugmart.ca/en/health-and-pharmacy/covid-19/testing) to book an appointment OR book an appointment at MAHC Bracebridge Assessment Centre (https://www.mahc.ca/en/services/muskoka-assessment-centre.aspx),,,https://chlscheduling.as.me/,1.0,1.0,6m,,,,,1.0,,,,,,,,
,359,1.0,Grey Bruce Health Services - Southampton,Grey Bruce Health Services,Southampton,340 High Street,,N0H 2L0,ON,44.49378,-81.365455,Grey Bruce Health Unit,519-378-1466,https://gbhssouthampton.simplybook.me/v2/,,16:00-20:00,,16:00-20:00,,1.0,1.0,1.0,,,,,,https://gbhssouthampton.simplybook.me/v2/,,,,,,,,,,,,,,,,
1.0,360,1.0,Oxford County Paramedic Services Mobile COVID-19 Testing,Oxford County Paramedic Services/Woodstock Hospital,Woodstock,377 Mill Street,,N4S 7V6,ON,43.114599,-80.760845,Southwestern Public Health,855-905-6148,,08:00-12:30,08:00-12:30,08:00-12:30,08:00-12:30,08:00-12:30,1.0,1.0,1.0,1.0,,"Public can call the Woodstock Hospital Assessment Centre or their Health Care Provider to book an appointment. Parking is off of Sales Drive, which is behind the building.  Park in front of Garage bay #7 (look for the orange cones).  After parking, please remain in your vehicle and call the on-duty Community Paramedic at (519) 852-4553.  The Paramedic will meet you at your vehicle, provide any necessary instruction, answer any questions, and perform your specimen collection.  The Paramedic will provide instructions on how to access your test results.  Please have your health card ready.",08:00-12:30,08:00-12:30,,,,,,,,,,,,,,,,,
1.0,361,1.0,Alexandra Hospital Ingersoll Assessment Centre,Tillsonburg District Memorial Hospital,Ingersoll,29 Noxon Street,,N5C 1B8,ON,43.032069,-80.875459,Southwestern Public Health,855-905-6148,https://www.tillsonburghospital.on.ca/about-tdmh/covid-19/,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,08:00-16:00,1.0,1.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,
,362,1.0,Grey Bruce Health Services Lion's Head,Grey Bruce Health Services Owen Sound,Lion's Head,22 Moore Street,,N0H 1W0,ON,44.986125,-81.249163,Grey Bruce Health Unit,519-378-1466,https://gbhslionshead.simplybook.me/v2/,,,08:30-11:00,,,1.0,1.0,1.0,,,,,,https://gbhslionshead.simplybook.me/v2/,,,,,,,,,,,,,,,,
1.0,363,1.0,Central Pickering AC,Lakeridge Health,Pickering,1101 Kingston Road,,L1V 1B5,ON,43.828368,-79.09729,Durham Region Health Department,,covidswab.lh.ca,14:00-20:00,closed,14:00-20:00,closed,14:00-20:00,1.0,,1.0,1.0,,"This site is transitioning to the Comprehensive Urgent Care office, located beside Glendale Pharmacy.  They will reopen on June 1 2022. 



Same day appointments may be accommodated on a walk-in basis.",09:00-15:00,09:00-15:00,covidswab.lh.ca,,1.0,1y,,,,,,,,,,,,,
,370,1.0,McNabb Arena and Recreation Centre,Canadian Health Labs,Ottawa,180 Percy Street,,K1R 6E5,ON,45.4090825,-75.7018712,Ottawa Public Health,,https://chlscheduling.as.me/schedule.php,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,11:00-19:00,1.0,,1.0,,,,11:00-19:00,11:00-19:00,https://chlscheduling.as.me/schedule.php,,,6m,,,,,,,,,,,,,
,371,1.0,COVID 19 Testing Clinic Innisfil,Royal Victoria Regional Health Centre,Innisfil,7325 Yonge Street,,L9S 2M6,ON,44.2987557308869,-79.610451382084,Simcoe Muskoka District Health Unit,705-797-3120,http://www.rvh.on.ca,16:00-20:00,,,,,1.0,,1.0,,,,,,http://www.rvh.on.ca,,1.0,3m,,,,,,,,,,,,,
,414,1.0,"COVID-19 Assessment Centre for Children with Medical Complexity (CMC) and Children with Developmental Disorders (CDD), Holland Bloorview Kids Rehab Hospital",Holland Bloorview Kids Rehabilitation Hospital,Toronto,150 Kilgour Road,,M4G 1R8,ON,43.7183025333452,-79.3742902952117,Toronto Public Health,416-419-4623,,17:00-19:00,17:00-19:00,17:00-19:00,17:00-19:00,,1.0,1.0,1.0,,,Select “Huntsville “ option as the phone line serves both the Bracebridge and Huntsville centres,09:00-16:00,,,,,,,,,,,,,,,,,,
,415,1.0,SickKids COVID-19 Testing Centre,SickKids COVID-19 Testing Centre for Children 4 Years and Younger,Toronto,555 University Avenue,,M5G 1X8,ON,43.6570979999181,-79.3877371124093,Toronto Public Health,,,13:00-15:30,13:00-15:30,13:00-15:30,13:00-15:30,13:00-15:30,1.0,1.0,1.0,,,The SickKids COVID-19 Testing Centre provides PCR testing for specialized populations and is not a public site.  See website for further details.,,,kids.covidtesting@sickkids.ca,,1.0,,,,,,,,,,https://www.sickkids.ca/en/care-services/covid-19-testing-for-select-groups-at-sickkids/,,,,
,416,1.0,North Durham COVID Assessment Clinic - Sunderland Site,Lakeridge Health Oshawa,Sunderland,217 River Street,,L0C 1H0,ON,44.2613848766991,-79.0731486528701,Durham Region Health Department,,covidswab.lh.ca,,,,,,1.0,,1.0,,,,,,covidswab.lh.ca,,,2y,,,,,,,,,,,,,
,417,1.0,Thorncliffe Park Temporary Testing Site #2,Jenner Jean-Marie Community Centre,Toronto,48 Thorncliffe Park Drive,,M4H 1J7,ON,43.7029359223078,-79.3427239370341,Toronto Public Health,647-477-1640,https://ethp.ca/main/covid19-testing,13:00-19:00,13:00-19:00,13:00-19:00,13:00-19:00,13:00-19:00,,1.0,1.0,,,,,,,1.0,1.0,0m,,,,,,,,,,,,,
,418,1.0,Oakridge (Scarborough) Temporary Testing Site,Oakridge Community Recreation Centre,Scarborough,63 Pharmacy Avenue,,M1L 3E7,ON,43.6949801242532,-79.2836049751181,Toronto Public Health,416-613-8061,https://ethp.ca/main/covid19-testing,,,,13:00-19:00,13:00-19:00,1.0,,1.0,,,BEFORE visiting our site,13:00-19:00,13:00-19:00,,1.0,1.0,0m,,,,,,,,,,,,,
,420,1.0,North Durham COVID Assessment Clinic - Beaverton Site,Lakeridge Health Oshawa,Beaverton,360 Bay Street,,L0K 1A0,ON,44.4287671818046,-79.1543694828986,Durham Region Health Department,,,,,12:00-16:00,,,1.0,1.0,1.0,,,,,,covidswab.lh.ca,,,2y,,,,,,,,,,,,,
,422,1.0,"Barrie and Community Family Medicine Clinic COVID-19, Cold and Flu",Barrie Community Health Centre,Barrie,"829 Big Bay Point Road, Unit D13",,L4N 0G5,ON,44.363276,-79.615607,Simcoe Muskoka District Health Unit,,https://v2.waitwhile.com/welcome/princewilliam,08:30-08:45&16:30-21:00,08:30-08:45&16:30-21:00,08:30-08:45&16:30-21:00,08:30-08:45&16:30-21:00,08:30-08:45&16:30-21:00,1.0,,1.0,,,"1) If you are an adult, please  visit www.ontario.ca/covidtest to ensure you meet the criteria for a test.",09:00-15:00,09:00-15:00,https://v2.waitwhile.com/welcome/princewilliam,,,0m,,,,,,,,,,,,,
,423,1.0,North Durham COVID Assessment Clinic - Manilla Site,Lakeridge Health Oshawa,Manilla,16990 Simcoe Street,,K0M 2J0,ON,44.3069505270195,-78.988893537678,Durham Region Health Department,,,,,,,09:00-12:00&12:30-16:00,1.0,,1.0,,,,,,covidswab.lh.ca,,,2y,,,,,,,,,,,,,
1.0,424,1.0,"Four Corners Health Centre COVID-19, Cold and Flu Care Clinic",Wellfort CHC,Mississauga,7205 Goreway Drive Unit 75,,L4T 2T9,ON,43.7182898947892,-79.6374112430553,Peel Public Health,905-451-4920,https://care-clinics.ca/,11:30-03:30,11:30-03:30,09:00-13:00,11:30-03:30,09:00-13:00,1.0,1.0,1.0,,,Clinic is located at the back of Westwood Square Mall,09:00-13:00,09:00-13:00,https://care-clinics.ca/,1.0,,,,,,,,,,,,,,,
1.0,425,1.0,"Rexdale COVID-19, Cold and Flu Care Clinic",Rexdale Community Health Centre,Toronto,"21 Panorama Court, Unit 15",,M9V 4E3,ON,43.7463453339638,-79.5813184975141,Toronto Public Health,416-748-4654 or 416-748-4650,https://care-clinics.ca/,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,1.0,,1.0,,,"Kipling and Finch is the major intersection no appointment needed. Provides clinical assessment (can assess, test, and provide treatment options for COVID-19). Call or visit their website. 

Free parking available

Near public transit",10:00-15:00,10:00-15:00,https://care-clinics.ca/,1.0,,2y,,,,,,,,,,,,,
1.0,426,1.0,"Queen Square COVID-19, Cold and Flu Care Clinic",Queen Square Family Health Team,Brampton,"36 Vodden Street East, Suite 305",,L6V 4H4,ON,43.69498,-79.76818,Peel Public Health,905-453-1453 ext. 400,https://care-clinics.ca/,10:00-16:00,10:00-16:00,,10:00-16:00,10:00-16:00,1.0,1.0,1.0,,,,,,https://care-clinics.ca/,,,2y,,,,,,,,,,,,,
1.0,427,1.0,"Dufferin-Caledon COVID-19, Cold and Flu Care Clinic",Dufferin Area Family Health Team,Orangeville,"50 Rolling Hills Drive, Suite 5",,L9W 6T6,ON,43.9214061,-80.0738241,Wellington-Dufferin-Guelph Health Unit,1-888-530-1319,https://care-clinics.ca/,17:00-20:00,17:00-20:00,17:00-20:00,17:00-20:00,,1.0,,1.0,,,The phone line opens at 8:30 am Monday – Thursday to book appointments and will close once all appointments are filled for the evening.,,,https://care-clinics.ca/,,,6m,,,,,,,,,,,,,
1.0,428,1.0,"CarePoint COVID-19, Cold and Flu Care Clinic",Summerville Family Health Team,Mississauga,"2695 North Sheridan Way, Suite 120",,L5K 2N6,ON,43.51306,-79.66363,Peel Public Health,905-361-1448,https://care-clinics.ca/,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,09:00-16:00,1.0,1.0,1.0,,,,09:00-16:00,09:00-16:00,https://care-clinics.ca/,,1.0,1y,,,,,,,,,,,,,
,429,1.0,Lawn Bowling Club Community Testing Site,DriverCheck,Brampton,8910 McLaughlin Road South,,L6Y 4Z5,ON,43.6673720714402,-79.7587950813391,Peel Public Health,905-302-6643,https://www.drivercheck.ca/ontariohealth,10:30-18:00,,10:30-18:00,,10:30-18:00,1.0,1.0,1.0,,,Call 905-302-6643 to book your appointment.,09:00-14:00,,,,,6m,,,,,,,1.0,,,,,,
1.0,431,1.0,West Elgin Community Health Centre COVID Assessment Centre,West Elgin Community Health Centre,West Lorne,153 Main Street,,N0L 2P0,ON,42.6048199697373,-81.6056580309844,Southwestern Public Health,519-857-2683,https://wechc.on.ca/,08:30-16:30,,08:30-16:30,,08:30-16:30,1.0,1.0,1.0,,,"COVID Testing is by appointment.  To book your appointment please call: 519-857-2683.  The assessment centre is located in West Lorne, approximately 35 minutes west of London (from Wellington Rd and the 401). Please note that Tests people with symptoms, exposure, or people in certain groups without symptoms or exposure.  Not open on stat holidays.",,,,,1.0,,,,,,,,,,,,,,
,434,1.0,SOAHAC Chippewa Assessment Centre,SOAHAC,Muncey,77 Switzer Drive,,N0L 1Y0,ON,42.809040937915,-81.5364567843621,Middlesex-London Health Unit,877-289-0381,,08:30-16:00,08:30-16:00,08:30-16:00,08:30-16:00,08:30-16:00,1.0,,1.0,,,,,,,,,2y,,,,,,,,,,,,,
1.0,435,1.0,MyHealth Community Testing Site,MyHealth,Brampton,"2260 Bovaird Drive East, Suite 105B",,L6R 1Z1,ON,43.7515485645952,-79.7385411553037,Peel Public Health,416-238-4635,https://www.covid-response.ca/,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,1.0,,1.0,,,,10:00-18:00,10:00-18:00,,,1.0,8m,,,,,,,,,,,,,
1.0,436,1.0,"Hurontario COVID-19, Cold and Flu Care Clinic",,Brampton,"10035 Hurontario St, Unit 11",,L6Z 0E6,ON,43.70693,-79.78702,Peel Public Health,905-366-7374,https://care-clinics.ca/,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,1.0,1.0,,,,"Provides clinical assessment (can assess, test, and provide treatment options for COVID-19).

Appointment only. Call or visit their website to make an appointment",10:00-20:00,10:00-20:00,https://care-clinics.ca/,,,1y,,,,,,,,,,,,,
1.0,437,1.0,"Carefirst One-Stop Multi-Services Centre COVID-19, Cold and Flu Care Clinic",Carefirst,Scarborough,300 Silver Star Boulevard,,M1V 0G2,ON,43.8125879630505,-79.2948923159481,Toronto Public Health,416-646-5108,https://care-clinics.ca/,,,,09:30-14:30,09:30-14:30,,,1.0,,,,,,https://care-clinics.ca/,,,2y,,,,,,,,,,,,,
1.0,438,1.0,"Black Creek COVID-19, Cold and Flu Care Clinic (Sheridan)",Black Creek CHC,Toronto,"2202 Jane Street, Unit 5",,M3N 3A1,ON,43.7590204732731,-79.5188099294549,Toronto Public Health,416-249-8000/416 830 3229,https://care-clinics.ca/,17:00-20:30,,17:00-20:30,,,1.0,1.0,1.0,,,,12:00-16:00,,https://care-clinics.ca/,1.0,,1y,,,,,,,,,,,,,
,439,1.0,Durham Manor - Pickering Assessment Centre,Lakeridge Health,Pickering,1970 Brock Road,,L1V 1Y3,ON,43.8481471165817,-79.0747687389602,Durham Region Health Department,,covidswab.lh.ca,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,10:00-18:00,1.0,,1.0,,,,10:00-17:00,10:00-17:00,https://www.covidswab.lh.ca,,,2y,,,,,,,,,,,,,
,440,1.0,Rexdale CHC - Pop-Up Sites,Rexdale Community Health Centre,Toronto,10 Rampart Road,,M9V 4L9,ON,43.7347832312138,-79.5887109308019,Toronto Public Health,,,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,09:00-17:00,,,1.0,,,Appointment only. Call or visit their website to make an appointment,,,,,,,,,,,,,,,,,,,
,441,1.0,London InterCommunity Health Centre,London InterCommunity Health Centre,London,659 Dundas Street,,N5W 2Z1,ON,42.9890435411405,-81.2297239019807,Middlesex-London Health Unit,,,09:30-16:00,09:30-16:00,09:30-16:00,09:30-16:00,09:30-16:00,1.0,,1.0,,,Targeting clients who cannot access traditional assessment centres (e.g. people who are homeless),,,,,,,,,,,,,,,,,,,
,442,1.0,MyHealth Centre Covid Response,MyHealth Centre,London,"279 Wharncliffe Road North, Suite 024",,N6H 2C2,ON,43.0031858214595,-81.1800057375535,Middlesex-London Health Unit,1-888-637-8661,https://www.covid-response.ca/,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,10:00-20:00,1.0,1.0,1.0,,,,08:00-18:00,08:00-18:00,https://www.covid-response.ca/,,,,,,,,,,,,,,,,
,726,1.0,Kettle & Stony Point First Nation Health Centre,Bluewater Health,Kettle & Stony Point FN,A-6275 Indian Lane,,N0N 1J1,ON,43.1785001791393,-81.9965557608618,Lambton Health Unit,519-786-5647,,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,
,727,1.0,Walpole Island Health Centre,Bluewater Health,Wallaceburg,1604 River Road,,N8A 4K9,ON,42.6077317014491,-82.5189714487581,Lambton Health Unit,519-627-0765,,09:00-12:00&13:00-14:30,09:00-12:00&13:00-14:30,09:00-12:00&13:00-14:30,09:00-12:00&13:00-14:30,09:00-12:00&13:00-14:30,1.0,1.0,1.0,,,"Walpole Island members, please call 519-627-0765 to book an appointment",,,,,,,,,,,,,,,,1.0,,,
1.0,728,1.0,Aamjiwnaang Health Centre,Bluewater Health,Sarnia,1300 Tashmoo Avenue,,N7T 8E5,ON,42.9126916399737,-82.4163255462259,Lambton Health Unit,519-332-6770 ext. 305,,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,08:30-16:30,1.0,1.0,1.0,,,This site is for Aamjiwnaag/Kettle & Stoney Point/Walpole Island members only.,,,,,,,,,,,,,,,,1.0,,,
,729,1.0,Carefirst Markham Office,Carefirst,Markham,4461 Highway 7 East,,L3R 1M1,ON,43.8610867119425,-79.3108832309164,York Region Public Health Services,416-646-5108,https://carefirstontario.ca,,09:30-14:30,09:30-14:30,,,1.0,,1.0,,,,,,,,,2y,,,,,,,,,,,,,
1.0,730,1.0,"Gibson Centre COVID-19, Cold and Flu Care Clinic",Carefirst,Markham,105 Gibson Drive,,L3R 3K7,ON,43.8227376487305,-79.3288406750945,York Region Public Health Services,416-646-5108,https://care-clinics.ca/,,10:00-14:30,10:00-14:30,,,1.0,1.0,1.0,,,,,,https://care-clinics.ca/,,,2y,,,,,,,,,,,,,
1.0,731,1.0,"Ebenezer COVID-19, Cold and Flu Care Clinic",Carefirst,Markham,5000 Steeles Avenue East,,L3R 7B4,ON,43.8288289206066,-79.2882981911954,Toronto Public Health,416-646-5108,https://care-clinics.ca/,09:30-14:30,,,,,1.0,1.0,1.0,,,,09:30-14:30,,https://care-clinics.ca/,,,2y,,,,,,,,,,,,,
,732,1.0,Etobicoke UCC COVID-19 Testing Site,Etobicoke Urgent Care Centre,Etobicoke,"25 Woodbine Downs Boulevard, Unit 10",,M9W 6N5,ON,43.7353620717506,-79.6056588270757,Toronto Public Health,416-741-2273,https://urgentcarecentre.ca,12:00-21:00,12:00-21:00,12:00-21:00,12:00-21:00,,1.0,,1.0,,,"Click ""Register Now"" for get your appointment.",10:00-18:00,,,,,2y,,,,,,,,,,,,,
